Issue,Resolution
P5900181 / P5900182,P5900181. Run the records in Proof  mode using XBX0001. Using other version may not update the processed flag to P. Later run the report R59R0342 BXAP0002. Running this report from application in Final mode may end the transaction in error. Please ask Narendra or Nithya to run report.
OT order stuck at 370 for SWL singapore Woodland,Please run R59R47031_BXAPSW01
Blank Records filter on data Browser,Please Use <-1 to filter values for Blank records. Also we can use <) to filter blank records
P4310 BXGM0004,Baxter Task View-- Supply chain Enquiries-- Purchasing/AP Inquiries--Purchase order Enquiry
Order Credit Hold,Order Hold Information P42090. Allowable percent is 0.5 percent and perid is 2. It means user is allowed to have the amount of 2 percnt of total open amount  in 0 to 30 period. If open AR amount is 1lak then in period 2 amount cannot be greater then 2000 in 0 to 30 bucket.  Lets say if Order is invoiced on 1 Sept and Allowed days as per Payment terms is 15 days. No today it is 1 Oct. credit past days is 15 days. So the amount on sales order is updated in 0 to 30 days.
P47011 BXAP0002 and P4210 BXAP0003,conversion of SZ  Pharmacy orders to SO 
Favorites Folder is disappeared,Click on open Applications and go on pressing Tab on recent report and click enter. There we can see favorites and click enter over it.
,Also in the personolization preferences there is a option for Reset Device SpecificEnterpriseOne Pages. Please click over it. It will start showing again
Spot Award,https://worksites.baxter.com/sites/BaxIDC/SitePages/eFormRewards.aspx
P5900007,Manufacturer name in QTS Item Supplier.  Anju Shear Sateesh Yelisetti…
SOMBF Process Pricing Failed., Define Tax rules for India. P5542017
Default Currency error is coming while creating the RMA,the original sales order is created with incorrect currency as per override currency rule. Delete the currency override rule and create RMA and there create the the set up. Just by expiring the  set up may not work someties.
Gate Entry Table,F554311D
Table  to check the DD items,F98711
ERROR - dbms_stats is not called for gathering stats after inserts/deletes,"exec dbms_stats.gather_table_stats(user, 'F03B13')"
Cannot get the data in Gate entry when clicking button inport PO,check the order status . It should be 282 370 or 280 400
QTS Supplier. Supplier Name number and Manufacturer name not Printed,Purchasing --GSQTS Validation Set up
"In General Ledger, the Batch G means it is AR By pass. IB means it is for Invoices",
Wealth Holdings,House on rent
Order Stuck at 591 for India,For India Finance need to push the order from 591 to 620. Use the menu Account Reecivable--Customer and Invoice Entry 4101--Customer Invoice Print---Update Status to 620 for non Inter company Invoice
Order Stuck at 591 for ANZ,For ANZ if order stuck at 591 then Customer is defined as EDI order and also defined in Consolidated Invices. Check with ANZ MDM or Kerry for the set up.
Ship To Address Invalid,"Update Freight code and Mode of transport in sales order Header  if user is getting the error of ship To Address Invalid, Please check with Pankaj Patel"
Manifacturing. Work Order status P594892A,Update of Work order status WO. Go to Manufacturing--Manufacturing Set Up--Work Order ststus change Security
Cardex to Item Location Integrity,R57R0110 Integrity report for integrity in F4111 and F41021
R59R0982 report is blank,Use the DAS report  GL Transaction Report (R59R0982) V59081J1
GSQ QTS Set up P590007 P590004,"in P590004 we set up a cross reference for JDE Supplier and GSQ Supplier. If theorder type for eg ON is set up in UDC 59/ST then system will not validate the GSQ Set up. Also if the item Additional Cat codes tab2 is not having blank, system will not check GSQ."
Price Adjustment Line,R42565 BXAPTW09  to do invoice for the order lines having SO08 as 3. Price Adjustment Line
GL Class issue having 9999 as Obsolete,The X2-X level field in Additional codes in Item Branch plant level will decide the GL Class. If X2-X level is  AA95 the Gl Class will be 9999. It should not be AA95
Lot Retest date,Please check the On Hand date and retest date in Lot Master.  Quality--Quality Transaction and Enquiries--Lot Master Revision Ahmedabad. From This set up Lot retest date will be populated.
"Check with Murlikrishnan Ganesan, Mahesh Chinnivari","F5531000, F5531001, F5531002, F5531003 outbound Table, F5531005  P5531000 Outbound files for 3WS Global Escape. It is Work Order Outbound. If the Work order is at 44 check the data in this table. If there is no data it means it processed and if the data is found in this table than there are likely chances that data is not processed from JDE to 3WS."
3WS Issue,Now from here the data is processed from global Escape to 3WS.  Later the same data will come back Inbound to JDE. This time please check In table F5531005 by work order Number.  Once the data comes back to JDE the Work order will move to 85
GUI cannot be generated and Print for DQ order,Amount is credit thats why unable to generate the GUI . Amount has to be Debit only
SQL to Find the latest records in Hardware Tracking,"select HKN001 from apdta.F596111, apdta.F596108 where HIY59GIT = HKY59GIT and HILOTN = HKLOTN and HKY59SIT = '2M91617' and HKLOTN = '20100057DL' and HKCTR in ('AU','NZ')and HKN001 = HIN002)"
Creating Presentations,https://wepik.com/ai-presentations
Create Item Supplier Relationship,R59R0147
Resume Creation,Land your dream job with HiCounselor
Home care.. Patient management,P5900177 Home care--Home care AU--Orders--Au-esolutions Review. Enyer the Patient number or Interface reference number as Vr01 received from AIP.
,"Now check if the order is in error from Processed flag. Now fo to table F590115 Hand Held orders Staging file, Enter the document numver and get the User reference number. check in the document for the reason of this issue using this User reference number."
,check the data updated in table F590115 and inventory capture date in P5900177 both should be same
,"Table or View does not Exist while Running SQL Go Any where. Add exec dbms_stats.gather_table_stats(user, 'F4102_ADT')   in the Update Query"
Finding Halb code,Check in F3002 . Enter 55* in LITM and AIN *in the KITL field and F in the FORQ Fixed or Variable Field 
Repost Orders Purchase sales and Work Order,"R3190  Repost Work Order, R42995 Repost Sales Order, R43990 Repst Purchase orders"
,If Purchase order is not created from F4311Z1. if u want to check in F01131M then enter the Template ID as 043Z and template Value as *04050|R|*
R47500 will call R42500 for Ship Confirm,
Mettular Weighment System,Please check the report R55R0348. If there is any out put or it s in error. We can cross check the details by giving them the Batch No in the lot number in P48013. In the shared folder we have the folder for Successful and errors. If it is in error check the weight in header and it should match with the the details.
P4205 Ship Confirmation,To do Batch Ship Confirmation Please use R47500. It will call the R4205 Internally
P00092_BXAP0002,"Supplement Data Type IB and Data Type LT Lot master. If we  give the lot number an item Number the Manufacturing date will be updated here. If there is no data found here, then Manufacturing date would be the Receipt date."
F49211 Sales Order Tag File,Cycle Billing check if data is here is Consolidated Invoicing is used
TDS Voucher Match Issue,Get the Document number used for Voucher match and enter it in F0411. Pay Line in F0411 is mismatch when you find the document in P0411 nd click to Reguonal Info.
P0411S,Speed Status Change For P0411 Details. Same can be used to Split the amount
APAC All Documents,APAC JDE E1 - All Documents (baxter.com)
Item Branch Duplication,R5941826
Co orders stuck at 590,Please check if the Order is having the Zone number updated as IEP. Please run the report R42565 BXAPIN04. Do not forget to put IN in India Localisation.
Cannot do Ship Confirm for Scrap Acetone,P41081  Please check Allowed Lot Status Group. For Acetone we have Allowed to do ales update for Lot that are at Lot status 3
SO TS,Oders with line type TS that are stuck at 578. If in order there is only one line with TS line type than Financial charge process R59R0152 may not process it. Move it to 590 by speed status
P59423  P590020 DCLINK,Application to give access for DC Link
Cycle count Is not updated in Cardex,Cycle count is done but there is no effect in cardex since for the item the Lot Process type is 3 atht is lot is mandatoru but cycle is done with blank lot.
**3452,No Instruction Table found. Please check the Cat Code for Item Branch.
**3452,Baxter Task View-- Ware House Management--AUQLD WQ01--Manual Process-- Work with Waves--
P594602,Baxter Task View-- Ware House Management--AUQLD WQ01--Warehouse Work Bench.. Find the wave --go inside and select the radio button and save it
R09110Z _BXAP8002/BXAP8003,To copy the data from F0911z1 to F0911. if it is in error please check Account ID in F0911
